Designator,Mid X,Mid Y,Layer,Rotation
C1,180.2,-150.475,TOP,90
C2,167.75,-147.4,TOP,90
C3,177.75,-144.35,TOP,90
D_CHG,178.45,-137.9,TOP,180
D_STAT,167.75,-150.4,TOP,90
D_VBAT,163.3,-118.6,TOP,90
D_VBUS,163.3,-125.65,TOP,270
J1,173.83,-151.1,TOP,0
R_CC1,172.1,-144.325,TOP,90
R_CC2,176.25,-144.15,TOP,90
R_CHG,181.5,-137.9,TOP,180
R_DN,180.0,-144.3,TOP,180
R_EN,182.45,-151.2,TOP,180
R_PROG,181.85,-140.15,TOP,270
R_STAT,162.2,-98.55,TOP,180
R_UP,180.0,-142.8,TOP,0
SW_BOOT,166.1,-153.6,TOP,0
SW_RST,181.55,-153.6,TOP,0
U1,173.45,-97.0,TOP,0
U2,179.0375,-140.35,TOP,0
U3,168.0,-138.85,TOP,0
